Model,Remaining Features,Dropped Feature,R^2 (mean),R^2 (std),MAE (mean),MAE (std),MSE (mean),MSE (std),RMSE (mean),MAPE (mean),Accuracy (%),Training Time (s)
Linear Regression,45,PGV_H,-0.780142067,0.879269926,0.610622891,0.216339828,1.302063627,1.137427428,1.141080027,8.605329807,85.47297297,9.182649612
Ridge Regression,45,PGV_H,0.343846821,0.090219236,0.48463561,0.085988953,0.420598485,0.172065949,0.648535647,7.035578822,87.5,1.387217522
Bayesian Ridge,45,PGV_H,-0.123775572,0.510361679,0.520999052,0.128666951,0.822922604,0.673742826,0.907150817,7.4313014,85.47297297,0.026001215
Lasso Regression,45,PGV_H,0.365337505,0.113733239,0.510834028,0.127053047,0.425940948,0.247172553,0.652641515,7.381963834,87.5,0.025001287
Elastic Net,45,PGV_H,0.387117335,0.104659472,0.488769815,0.109236796,0.405297945,0.218487883,0.636630148,7.067702733,88.51351351,0.025000811
Orthogonal Matching Pursuit,45,PGV_H,0.250569627,0.230400261,0.49750932,0.121960591,0.503063028,0.333971911,0.709269362,7.180607152,86.82432432,0.024429798
k-Nearest Neighbors Regressor,45,PGV_H,0.460098388,0.118806496,0.413107345,0.161262534,0.365138983,0.22195449,0.604267311,6.029869155,90.54054054,0.3170681
Decision Tree Regressor,45,PGV_H,0.022639739,0.392876415,0.42480226,0.134226207,0.586497175,0.229406667,0.765831036,6.139398327,93.24324324,0.165377378
Random Forest Regressor,45,PGV_H,0.584883707,0.125772076,0.367855367,0.094254588,0.260229579,0.111092556,0.510127023,5.388939162,93.24324324,0.711312771
Extra Trees Regressor,45,PGV_H,0.587716807,0.096782969,0.36299548,0.09084591,0.256286113,0.094475357,0.506247087,5.339594058,91.89189189,0.274644375
Gradient Boosting Regressor,45,PGV_H,0.562662732,0.155160193,0.346127169,0.124615544,0.279631025,0.14690968,0.528801499,5.057810531,91.89189189,5.016146421
AdaBoost Regressor,45,PGV_H,0.485712942,0.148666435,0.484911393,0.07065343,0.318162307,0.125561254,0.56405878,7.31164549,92.22972973,0.219741106
XGBoost Regressor,45,PGV_H,0.579246032,0.127350433,0.345669269,0.09361056,0.26370949,0.112804302,0.513526523,5.029446987,92.56756757,1.456899881
